source	arxiv_id	year	title	authors	venue	url	tags	matched_queries
arxiv	2606.19527v1	2026	Emergent Alignment	Martin Kolář	arXiv	http://arxiv.org/abs/2606.19527v1	reasoning; safety_alignment; definition_theory	all:"emergent alignment" AND all:"language models" || all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19476v1	2026	Can In-Context Learning Support Intrinsic Curiosity?	Eric Elmoznino; Sangnie Bhardwaj; Johannes von Oswald; Rajai Nasser; Blaise Agüera y Arcas; João Sacramento; Rif A. Saurous; Guillaume Lajoie	arXiv	http://arxiv.org/abs/2606.19476v1	world_model; icl; phase_scaling; safety_alignment; definition_theory	all:"in-context learning" AND all:"emergent" || all:"in context learning" AND all:"emergence" || all:"emergent in-context learning"
arxiv	2606.19475v1	2026	Diffusion Language Models: An Experimental Analysis	Thomas Bertolani; Davide Bucciarelli; Leonardo Zini; Marcella Cornia; Lorenzo Baraldi	arXiv	http://arxiv.org/abs/2606.19475v1	benchmark_sudden; reasoning; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.19167v1	2026	Teaching Software Engineering with LLM and MCP Integration: From Classroom to Industry Practice	Kehui Chen; Jacky Keung; Weining Li; Xiangbing Shao; Yishu Li; Xiaoxue Ma	arXiv	http://arxiv.org/abs/2606.19167v1	other	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18961v1	2026	Be Your Own Teacher: Steering Protein Language Models via Unsupervised Reward Optimization	Lanqing Li; Shentong Mo; Yang Yu; Pheng-Ann Heng	arXiv	http://arxiv.org/abs/2606.18961v1	mechanism; reasoning; phase_scaling	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18910v1	2026	REVES: REvision and VErification--Augmented Training for Test-Time Scaling	Yuanxin Liu; Ruida Zhou; Xinyan Zhao; Amr Sharaf; Hongzhou Lin; Arijit Biswas; Mohammad Ghavamzadeh; Zhaoran Wang; Mingyi Hong	arXiv	http://arxiv.org/abs/2606.18910v1	mechanism; reasoning; safety_alignment	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18831v1	2026	Beyond Reward Engineering: A Data Recipe for Long-Context Reinforcement Learning	Xiaoyue Xu; Sikui Zhang; Xiaorong Wang; Xu Han; Chaojun Xiao	arXiv	http://arxiv.org/abs/2606.18831v1	benchmark_sudden; reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18656v1	2026	The Wrong Kind of Right: Quantifying and Localizing Misfired Alignment in LLMs	Naihao Deng; Yiming Feng; Chimaobi Okite; Kaijian Zou; Lu Wang; Rada Mihalcea; Yulong Chen	arXiv	http://arxiv.org/abs/2606.18656v1	benchmark_sudden; phase_scaling; safety_alignment	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18650v1	2026	BLADE: Scalable Bi-level Adaptive Data Selection for LLM Training	Jiaxing Wang; Deping Xiang; Jin Xu; Zirui Liu; Zicheng Zhang; Guoqiang Gong; Jun Fang; Chao Liu; Pengzhang Liu; Tongxuan Liu; Ke Zhang; Qixia Jiang	arXiv	http://arxiv.org/abs/2606.18650v1	reasoning; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18600v1	2026	ShuntServe: Cost-Efficient LLM Serving on Heterogeneous Spot GPU Clusters	Seungwoo Jeong; Moohyun Song; Juhyun Park; Kyungyong Lee	arXiv	http://arxiv.org/abs/2606.18600v1	phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18521v1	2026	Sparsity Curse: Understanding RLVR Model Parameter Space from Model Merging	Chenrui Wu; Zexi Li; Jiajun Bu; Jiangchuan Liu; Haishuai Wang	arXiv	http://arxiv.org/abs/2606.18521v1	benchmark_sudden; mechanism; reasoning; definition_theory	all:"RLVR" AND all:"emergence"
arxiv	2606.18363v1	2026	Guava: An Effective and Universal Harness for Embodied Manipulation	Haowen Liu; Xirui Li; Shaoxiong Yao; Peng Shi; Tianyi Zhou; Jia-Bin Huang; Furong Huang; Jiayuan Mao	arXiv	http://arxiv.org/abs/2606.18363v1	reasoning; phase_scaling; definition_theory	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18089v1	2026	From Reasoning Traces to Reusable Modules: Understanding Compositional Generalization in Language Model Reasoning	Lingjing Kong; Xin Liu; Guangyi Chen; Martin Q. Ma; Xiangchen Song; Yuekai Sun; Mikhail Yurochkin; Taylor W. Killian; Ruslan Salakhutdinov; Kun Zhang; Eric P. Xing; Zhengzhong Liu	arXiv	http://arxiv.org/abs/2606.18089v1	mechanism; reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18075v1	2026	A Unified Framework for Context-Aware and Relation-Aware Graph Retrieval-Augmented Generation	Haoyang Zhong; Yifei Sun; Antong Zhang; Chunping Wang; Lei Chen; Yang Yang	arXiv	http://arxiv.org/abs/2606.18075v1	mechanism; reasoning; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.18042v2	2026	Latency Prediction for LLM Inference on NPU Systems	Juhyun Park; Seungwoo Jeong; Jingyu Lee; Kyungyong Lee	arXiv	http://arxiv.org/abs/2606.18042v2	other	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17958v1	2026	Beyond Visual Cues: CoT-Enhanced Reasoning for Semi-supervised Medical Image Segmentation	Yuming Chen; Yuxin Xie; Tao Zhou; Yi Zhou	arXiv	http://arxiv.org/abs/2606.17958v1	reasoning; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models" || all:"chain of thought" AND all:"emergent"
arxiv	2606.17945v1	2026	Small Initialization Matters for Large Language Models	Liangkai Hang; Junjie Yao; Zhiyu Li; Feiyu Xiong; Hongkang Yang; Zhi-Qin John Xu	arXiv	http://arxiv.org/abs/2606.17945v1	mechanism; reasoning; phase_scaling; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17890v1	2026	Dynamic Rollout Editing for Reducing Overthinking in RL-Trained Reasoning Models	Zihao Wei; Wenjie Shi; Liang Pang; Jingcheng Deng; Shicheng Xu; Shasha Guo; Zenghao Duan; Jiahao Liu; Jingang Wang; Huawei Shen; Xueqi Cheng	arXiv	http://arxiv.org/abs/2606.17890v1	mechanism; reasoning; definition_theory	all:"chain of thought" AND all:"emergent"
arxiv	2606.17721v1	2026	Understanding and Debugging Failures in N-Gram-Based Generative Retrieval	Richard Takacs; Adrian Bracher; Svitlana Vakulenko	arXiv	http://arxiv.org/abs/2606.17721v1	mechanism	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17680v1	2026	EnvRL: Learn from Environment Dynamics in Agentic Reinforcement Learning	Zhitong Wang; Songze Li; Hao Peng; Shuzheng Si; Yi Wang; Maosong Sun; Juanzi Li	arXiv	http://arxiv.org/abs/2606.17680v1	benchmark_sudden; mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17522v1	2026	An expressivity analysis of hierarchical modelling in deep transformers via bounded-depth grammars	Vinoth Nandakumar; Qiang Qu; Pramod Thebe; Sakshi Khachariya; Tongliang Liu	arXiv	http://arxiv.org/abs/2606.17522v1	mechanism; phase_scaling	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17443v1	2026	Incumbent Advantage: Brand Bias and Cognitive Manipulation Dynamics in LLM Recommendation Systems	Xi Chu; Yupeng Hou	arXiv	http://arxiv.org/abs/2606.17443v1	safety_alignment	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17398v1	2026	SoK: AI-Augmented Binary Reversing	Yujeong Kwon; Yiyue Zhang; Shakhzod Yuldoshkhujaev; Kexin Pei; Dokyung Song; Hyungjoon Koo	arXiv	http://arxiv.org/abs/2606.17398v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17276v2	2026	On the Memorization Behavior of LLMs in Generative Recommendation: Observations, Implications, and Training Strategies	Sunwoo Kim; Sunkyung Lee; Clark Mingxuan Ju; Donald Loveland; Bhuvesh Kumar; Kijung Shin; Neil Shah; Liam Collins	arXiv	http://arxiv.org/abs/2606.17276v2	other	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16934v1	2026	Exploring Extrinsic and Intrinsic Properties for Effective Reasoning with Code Interpreter	Patomporn Payoungkhamdee; Napat Laosaengpha; Jenta Wonglertsakul; Pittawat Taveekitworachai; Pume Tuchinda; Panjapong Poobanchuen; Ekapol Chuangsuwanich; Can Udomcharoenchaikit; Samuel Cahyawijaya; Peerat Limkonchotiwat; Sarana Nutanong	arXiv	http://arxiv.org/abs/2606.16934v1	reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16867v1	2026	Revisiting the Systematicity in Negation in the Era of In-Context Learning	Hitomi Yanaka; Taisei Yamamoto	arXiv	http://arxiv.org/abs/2606.16867v1	mechanism; icl	all:"function vectors" AND all:"language models"
arxiv	2606.16827v1	2026	No Resource, No Benchmarks, No Problem? Evaluating and Improving LLMs for Code Generation in No-Resource Languages	Alessandro Giagnorio; Alberto Martin-Lopez; Gabriele Bavota	arXiv	http://arxiv.org/abs/2606.16827v1	benchmark_sudden	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16682v2	2026	Multimodal Evaluator Preference Collapse: Cross-Modal Contagion in Self-Evolving Agents	Zewen Liu	arXiv	http://arxiv.org/abs/2606.16682v2	safety_alignment	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16650v1	2026	Understanding Automated Web GUI Testing: An Empirical Study Across Exploration Strategies and State Abstractions	Chenxu Liu; Wei Yang; Ying Zhang; Tao Xie	arXiv	http://arxiv.org/abs/2606.16650v1	mechanism; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16629v1	2026	Islamic Large Language Models: From Knowledge Acquisition to Trustworthy and Hallucination-Resistant AI	Mohammed Amine Mouhoub	arXiv	http://arxiv.org/abs/2606.16629v1	benchmark_sudden; reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16591v2	2026	SING: Synthetic Intention Graph for Scalable Active Tool Discovery in LLM Agents	Qiao Xiao; Haochen Shi; Yisen Gao; Wenbin Hu; Huihao Jing; Tianshi Zheng; Baixuan Xu; Ziheng Zhang; Weiqi Wang; Haoran Li; Jiaxin Bai; Yangqiu Song	arXiv	http://arxiv.org/abs/2606.16591v2	benchmark_sudden; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16496v1	2026	REFLEX: Reflective Evolution from LLM Experience	Pan Wang	arXiv	http://arxiv.org/abs/2606.16496v1	benchmark_sudden; reasoning	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16281v1	2026	Who Should Lead Decoding Now? Tracking Reliable Trajectories for Ensembling Masked Diffusion Language Models	Heecheol Yun; Joonhyung Park; Joowon Kim; Eunho Yang	arXiv	http://arxiv.org/abs/2606.16281v1	reasoning	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16240v1	2026	Creative Collision: Directorial Persona Steering and Competition in Large Language Models	Subramanyam Sahoo; Justin Shenk	arXiv	http://arxiv.org/abs/2606.16240v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16053v1	2026	Modeling Engagement with Brand and Organizational TikTok Videos Using Machine-Assisted Theory-Ensemble Annotation	Sander Paekivi; Andres Karjus	arXiv	http://arxiv.org/abs/2606.16053v1	reasoning; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.16035v1	2026	GPT-Based Fast Simulation of CLAS12 Detector Hits via Conditional Autoregressive Generation	Cole Granger; James Giroux; Richard Tyson; Maurizio Ungaro; Cristiano Fanelli	arXiv	http://arxiv.org/abs/2606.16035v1	other	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15943v1	2026	Graphical-Probabilistic Modeling of Generative Flows in LLM-Native Software Systems	Víctor A. Braberman; Flavia Bonomo-Braberman	arXiv	http://arxiv.org/abs/2606.15943v1	reasoning; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15932v2	2026	Beyond NL2Code: A Structured Survey of Multimodal Code Intelligence	Xuanle Zhao; Qiushi Sun; Jingyu Xiao; Xuexin Liu; Haoyue Yang; Qiaosheng Chen; Xianzhen Luo; Jing Huang; Yufeng Zhong; Lei Chen; Shuai Fu; Zhenlin Wei; Jinhe Bi; Lei Jiang; Haibo Qiu; Siqi Yang; Peng Shi; Jian Hu; Zhixiong Zeng	arXiv	http://arxiv.org/abs/2606.15932v2	benchmark_sudden; mechanism; reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15898v1	2026	VL2Spike: Spike-driven Distillation from VLMs for Low-Power Visual Perception in Embodied AI	Zinan Liu; Eric Zheng; Soumyaratna Debnath; Hao Shi; Ling Xiao; Lin Wang	arXiv	http://arxiv.org/abs/2606.15898v1	mechanism; safety_alignment; definition_theory	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17104v1	2026	Prefill/Decode-Aware Evaluation of LLM Inference on Emerging AI Accelerators	Shun Usami; Venkatram Vishwanath; E. Wes Bethel	arXiv	http://arxiv.org/abs/2606.17104v1	other	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15734v1	2026	Retrievable Gradients: Continual Post-Training Without Cumulative Weight Drift	Weihang Su; Jiacheng Kang; Jingyan Xu; Qingyao Ai; Jianming Long; Hanwen Zhang; Bangde Du; Xinyuan Cao; Min Zhang; Yiqun Liu	arXiv	http://arxiv.org/abs/2606.15734v1	other	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15663v1	2026	OneFocus: Enabling Real-World X-ray Security Screening with a Unified Vision-Language Model	Jiali Wen; Hongxia Gao; Litao Li; Yixin Chen; Kaijie Zhang; Qianyun Liu; Xiaoqin Wen	arXiv	http://arxiv.org/abs/2606.15663v1	benchmark_sudden; phase_scaling	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15625v1	2026	Conflict-Aware Federated Fine-Tuning of Large Language Models with Mixture-of-Experts	Yijun Lu; Zihan Fang; Pengpeng Qiao; Zheng Lin; Jing Yang; Yuxin Zhang; Por Lip Yee; Zhe Chen; Jun Luo	arXiv	http://arxiv.org/abs/2606.15625v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15609v1	2026	FragFuse: Bypassing Access Control of Large Language Model Agents via Memory-Based Query Fragmentation and Fusion	Zixin Rao; Wentian Zhu; Chan Aristella Lu; Zhaorun Chen; Wei Niu; Le Guan; Bo Li; Zhen Xiang	arXiv	http://arxiv.org/abs/2606.15609v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15583v1	2026	Process-Oriented Evaluation of AI-Assisted Scientific Writing	Patrick Queiroz Da Silva; Sanchaita Hazra; Doeun Lee; Sachin Kumar; Bodhisattwa Prasad Majumder	arXiv	http://arxiv.org/abs/2606.15583v1	phase_scaling	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15521v1	2026	Emergent retokenization symmetry in large language models: phenomenology and applications	Kanishk Jain; Matthew Day; Tankut Can	arXiv	http://arxiv.org/abs/2606.15521v1	benchmark_sudden; mechanism; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15453v1	2026	A Spatio-Temporal Expert Prefetching Framework for Efficient MoE-based LLM Inference	Yingnan Zhao; Razvan Bunescu; Ahmed Louri; Avinash Karanth; Ke Wang	arXiv	http://arxiv.org/abs/2606.15453v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15385v1	2026	Reward Hacking in Language Model Agents: Revisiting AI Safety Gridworlds	Ömer Veysel Çağatan; Xuandong Zhao	arXiv	http://arxiv.org/abs/2606.15385v1	phase_scaling; safety_alignment	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15384v1	2026	CoeusBI: A Comprehensive Interactive Business Intelligence System Powered by LLMs at Baidu [Extended Version]	Jinqing Lian; Chaofan Li; Yingxia Shao; Ming Wang; Yang Dong; Xinyi Liu; Wei Zhang; Chaoxian Gui; Tianqi Wan; Ming Dong	arXiv	http://arxiv.org/abs/2606.15384v1	mechanism; phase_scaling; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15378v1	2026	Rethinking the Role of Efficient Attention in Hybrid Architectures	Ziqing Qiao; Yinuo Xu; Chaojun Xiao; Zhou Su; Zihan Zhou; Yingfa Chen; Xiaoyue Xu; Xu Han; Zhiyuan Liu	arXiv	http://arxiv.org/abs/2606.15378v1	mechanism	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15341v1	2026	CausalDrive: Real-time Causal World Models for Autonomous Driving	Tianyi Yan; Huan Zheng; Dubing Chen; Meizhi Qu; Yingying Shen; Lijun Zhou; Mingfei Tu; Bing Wang; Guang Chen; Hangjun Ye; Haiyang Sun; Cheng-zhong Xu; Jianbing Shen	arXiv	http://arxiv.org/abs/2606.15341v1	mechanism; world_model; phase_scaling	all:"world model" AND all:"transformer" AND all:"emergent"
arxiv	2606.15179v1	2026	CONCORD: Asynchronous Sparse Aggregation for Device-Cloud RAG under Document Isolation	Xuedong Hu; Zhiqing Tang; Zhi Yao; Tian Wang; Weijia Jia	arXiv	http://arxiv.org/abs/2606.15179v1	mechanism	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.15092v1	2026	High-Dimensional Random Projection for Activation Steering in Language Models	Minh-Hieu Pham; Bach Do; Laziz Abdullaev; Tan Minh Nguyen; Khoat Than	arXiv	http://arxiv.org/abs/2606.15092v1	benchmark_sudden; mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14989v1	2026	Hierarchical Generative Agents for Simulating Sequential Human Behavior	Maria G. Mendoza; Lucas Waldburger; Jin Lee; Shankar Sastry	arXiv	http://arxiv.org/abs/2606.14989v1	reasoning	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14700v1	2026	RepFusion: Leveraging Multimodal Priors for Denoising in Representation Space	Xichen Pan; Aashu Singh; Satya Narayan Shukla; Xiangjun Fan; Shlok Kumar Mishra; Saining Xie	arXiv	http://arxiv.org/abs/2606.14700v1	mechanism; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14586v1	2026	S$^2$COPE: Self-Supervised Concept Discovery via Preference Learning	Shilong Xiang; Zirui Zhang; Chengzhi Mao	arXiv	http://arxiv.org/abs/2606.14586v1	mechanism; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14476v1	2026	When the Tool Decides: LLM Agents Defer Blindly to Graph Neural Network Tools, and Stronger Backbones Defer More	Zhongyuan Wang; Pratyusha Vemuri	arXiv	http://arxiv.org/abs/2606.14476v1	mechanism; reasoning; phase_scaling	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14277v1	2026	One Layer's Trash is Another Layer's Treasure: Adaptive Layer-wise Visual Token Selection in LVLMs	Yongru Chen; Kai Zhang; Zeliang Zong; Yuchen Lu; Wenming Tan; Ye Ren; Jilin Hu	arXiv	http://arxiv.org/abs/2606.14277v1	mechanism; definition_theory	all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14215v1	2026	LapidaryEngine: Fully Conversational Crystal Generation	Yusei Ito; Yuta Suzuki; Tomoya Murata; Masaki Adachi	arXiv	http://arxiv.org/abs/2606.14215v1	mechanism; phase_scaling; safety_alignment; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14210v1	2026	From Prompts to Responses: Dual-Sided Data Leakage and Defense in Split Large Language Models	Zixuan Gu; Xiaojun Ye; Yang Liu	arXiv	http://arxiv.org/abs/2606.14210v1	mechanism	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.14154v1	2026	SkillMutator: Benchmarking and Defending Language-and-Code Cross-modal Attacks on LLM Agent Skills	Youngduk Kim; Minkyoo Song; Seungwon Shin	arXiv	http://arxiv.org/abs/2606.14154v1	benchmark_sudden; mechanism; reasoning; safety_alignment	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
arxiv	2606.17082v1	2026	ParkingTransformer: LLM-Enhanced End-to-End Trajectory Planning for Autonomous Parking	Hauteng Wu; Xu Li; Dong Kong; Zihang Wang; Xieyuanli Chen; Benwu Wang; Wenkai Zhu	arXiv	http://arxiv.org/abs/2606.17082v1	mechanism; reasoning; phase_scaling; definition_theory	all:"emergence" AND all:"large language models" || all:"emergent" AND all:"large language models" || all:"emergent" AND all:"language models" || all:"emergence" AND all:"language models"
