corpus	method	level	cluster	size	algorithmic_label	top_terms	mean_supported_count	include_count	exclude_count	tier_1	tier_2	tier_3	untiered	scaling_count	compression_count	criticality_count	novel_basis_count	generalisation_count	medoid_work_id	medoid_title	boundary_work_id	boundary_title	strongest_work_id	strongest_title
included	tfidf	subcluster	S05	5	bottleneck / remains / remains sufficient	bottleneck | remains | remains sufficient | label information | nuisance information | nuisance | experiments connect | information bottleneck | information | sufficient	2.0	5	0	0	5	0	0	4	5	1	0	0	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	w_b19041cd869bacfa	Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence
included	tfidf	subcluster	S06	7	modular addition / fourier / sparse fourier	modular addition | fourier | sparse fourier | losses | cleanup | improvement | fourier reorganization | depths | restricted | test-error	2.857	7	0	3	4	0	0	7	6	4	3	0	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
included	tfidf	subcluster	S07	9	low-rank / interventions / grokking	low-rank | interventions | grokking | entropy reduction | representational | interventions link | representation geometry | geometric | task-structured | multiple seeds	2.222	9	0	2	7	0	0	9	4	5	2	0	w_9f65ba32c1a08d74	Low-Dimensional and Transversely Curved Optimization Dynamics in Grokking	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks
included	tfidf	subcluster	S08	2	generalization regimes / decay controls / weight decay	generalization regimes | decay controls | weight decay | weight | multi-task | decay | weight-decay | regimes | separates | memorizing generalizing	2.0	2	0	0	2	0	0	2	0	2	0	0	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure
included	tfidf	subcluster	S09	5	abstract / reusable / abstraction	abstract | reusable | abstraction | symbolic | establish uses | pretrained | randomized-token | reasoning | variables | appears	2.4	5	0	1	4	0	0	3	2	0	5	2	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models
included	tfidf	subcluster	S10	3	graph / gradient / inference	graph | gradient | inference | derived | attention structure | attention computation | attention | bayesian | descent | transformer	2.0	3	0	0	3	0	0	3	0	0	3	0	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent
included	tfidf	subcluster	S11	4	systems / dynamical systems / dynamical-system	systems | dynamical systems | dynamical-system | transformers dynamical | latent state | latent | control recovery | preserves predictive | action | observations	2.5	4	0	1	3	0	0	3	3	0	3	1	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	w_29ea95f17f21c7ac	Transformers for dynamical systems learn transfer operators in-context	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning
included	tfidf	subcluster	S12	12	spatial / hippocampal / allocentric	spatial | hippocampal | allocentric | coding | egocentric | recurrent organization | reservoir | cognitive | tuning | rnn	2.167	12	0	0	12	0	0	11	4	0	11	0	w_87462cebc24e3c1e	From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding	w_63d2efb7962dd788	Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex
included	tfidf	subcluster	S13	11	fixed-point / constants / time constants	fixed-point | constants | time constants | perturbation | timescales | imposed | attractors | recurrent activity | learnable | scene	2.0	11	0	0	11	0	0	8	4	1	9	0	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations
included	tfidf	subcluster	S14	4	hardware / external / autocorrelation	hardware | external | autocorrelation | size control | hardware software | software | neuromorphic | transition spiking | avalanche | external drive	2.0	4	0	0	4	0	0	4	0	4	0	0	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity
included	tfidf	subcluster	S15	2	critical dynamics / internal regime / associative retrieval	critical dynamics | internal regime | associative retrieval | regulation | coupling | homeostatic | associative | retrieval | load | stored-pattern	2.0	2	0	0	2	0	0	2	0	2	0	0	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks
included	semantic	macro	M01	18	avalanche / spiking / coupling	avalanche | spiking | coupling | homeostatic | constants | realizations | hardware | time constants | external | ring	2.0	18	0	0	18	0	0	16	4	6	10	0	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	w_ab07437d78318352	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations
included	semantic	macro	M02	11	spatial / allocentric / coding	spatial | allocentric | coding | environment | egocentric | cognitive | predictive | recurrent learns | supervision | manifold	2.364	11	0	1	10	0	0	10	5	0	11	0	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation
included	semantic	macro	M03	19	icl / ablation / scales	icl | ablation | scales | synthetic | capability | concept | diversity | subcircuits | knowledge | pythia	2.158	19	0	2	17	0	0	18	4	12	5	2	w_0308d55890a5b9c6	On the Emergence of Induction Heads for In-Context Learning	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers
included	semantic	macro	M04	7	systems / attention computation / graph	systems | attention computation | graph | transformer | markov | dynamical systems | dynamical-system | transformers dynamical | latent state | context	2.0	7	0	0	7	0	0	6	2	0	5	1	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent
included	semantic	macro	M05	17	weight / arithmetic / grokking	weight | arithmetic | grokking | weight decay | fourier | modular-addition | post-grokking | grokking checkpointed | operations | replicated	2.294	17	0	4	13	0	0	17	8	8	6	0	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
included	semantic	macro	M06	20	phase transitions / sampling / datasets	phase transitions | sampling | datasets | simulations | semantic | escape | bottleneck | hessian | eigenvalue | retaining	2.2	20	0	1	19	0	0	17	9	14	4	0	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why
included	semantic	subcluster	S01	5	spiking / hardware / external	spiking | hardware | external | autocorrelation | size control | spiking neural | software | hardware software | neuromorphic | transition spiking	2.0	5	0	0	5	0	0	5	0	4	1	0	w_6fc4c4ab9c9916f7	Hysteresis, neural avalanches, and critical behavior near a first-order transition of a spiking neural network	w_5c54f66764cf4f97	Temporal hierarchy in spiking neural networks	w_6fc4c4ab9c9916f7	Hysteresis, neural avalanches, and critical behavior near a first-order transition of a spiking neural network
included	semantic	subcluster	S02	7	timescales / memory / critical dynamics	timescales | memory | critical dynamics | internal regime | regulation | associative retrieval | retrieval | coupling | realizations | associative	2.0	7	0	0	7	0	0	6	2	2	4	0	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	w_27f0a0911b68ee3a	Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks
included	semantic	subcluster	S03	6	ring / optimization / reusable	ring | optimization | reusable | number | reservoir | recurrent | connectivity | tuning | sequence | mexican-hat	2.0	6	0	0	6	0	0	5	2	0	5	0	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking
included	semantic	subcluster	S04	8	allocentric / egocentric / spatial	allocentric | egocentric | spatial | recurrent learns | navigation | sensory | generates | inputs | place | thousand	2.25	8	0	0	8	0	0	8	2	0	8	0	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	w_cf357442f5aa7893	Predictive pursuit emerges in high-dimensional recurrent neural networks	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation
included	semantic	subcluster	S05	3	observations / action / representations predictive	observations | action | representations predictive | latent | predictive | environment | group | manifold | prediction | autoencoder	2.667	3	0	1	2	0	0	2	3	0	3	0	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	w_3144bdd83cd17ac0	Automated construction of cognitive maps with visual predictive coding	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations
included	semantic	subcluster	S06	11	synthetic / capability / concept	synthetic | capability | concept | knowledge | acquisition | reasoning | language pretraining | language | seven | head ablation	2.182	11	0	1	10	0	0	10	2	6	4	2	w_7478c4587d99ea18	Unveiling Transformers with LEGO: a synthetic reasoning task	w_83ff2605b95d13cd	How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training	w_7478c4587d99ea18	Unveiling Transformers with LEGO: a synthetic reasoning task
included	semantic	subcluster	S07	6	diversity / subcircuits / induction head	diversity | subcircuits | induction head | heads in-context | in-context | predicts threshold | theory predicts | phase boundaries | task diversity | switches	2.167	6	0	1	5	0	0	6	0	6	1	0	w_7afa59979906b85f	What Needs to Go Right for an Induction Head? A Mechanistic Study of In-Context Learning Circuits and Their Formation	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers
included	semantic	subcluster	S08	2	compact task / vector / icl	compact task | vector | icl | conditional | ablation | score | decoder | compact | perspective | finetuning	2.0	2	0	0	2	0	0	2	2	0	0	0	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	w_b1b2841abfaf8ef2	Which Attention Heads Matter for In-Context Learning?	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective
included	semantic	subcluster	S09	7	systems / attention computation / graph	systems | attention computation | graph | transformer | markov | dynamical systems | dynamical-system | transformers dynamical | latent state | context	2.0	7	0	0	7	0	0	6	2	0	5	1	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent
included	semantic	subcluster	S10	11	post-grokking / replicated / transverse	post-grokking | replicated | transverse | low-rank | grokking | representational | interventions link | task-aligned | geometric | representation geometry	2.182	11	0	2	9	0	0	11	5	7	1	0	w_c0722915b2be1f88	How to Tame Grokking: Representation Geometry as a Control Signal	w_b19041cd869bacfa	Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers	w_c0722915b2be1f88	How to Tame Grokking: Representation Geometry as a Control Signal
included	semantic	subcluster	S11	6	modular-addition / fourier / frequencies	modular-addition | fourier | frequencies | cleanup | phase alignment | restricted | grokking mechanistic | precede | fourier circuit | cleanup phases	2.5	6	0	2	4	0	0	6	3	1	5	0	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
included	semantic	subcluster	S12	4	sampling / softmax / softmax attention	sampling | softmax | softmax attention | semantic | order | order parameters | copy | controls reproduce | crosses | visual	2.0	4	0	0	4	0	0	3	1	3	1	0	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	w_a6ec62ef7863cd72	Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence
included	semantic	subcluster	S13	7	bottleneck / retaining / nuisance	bottleneck | retaining | nuisance | nuisance information | label information | experiments connect | information | information bottleneck | redundant | converge	2.286	7	0	1	6	0	0	5	7	2	2	0	w_4ea8cb6a3b5fed46	Emergent Generalization by Representation Learning in Artificial Neural Networks	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	w_67833e8bc8bb92f5	Redundant representations help generalization in wide neural networks * , †
included	semantic	subcluster	S14	6	hessian / trainability / deep neural	hessian | trainability | deep neural | fit | transition occurs | occurs | sgd | multilayer | deep | regions	2.167	6	0	0	6	0	0	6	0	6	1	0	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	w_8c5442dfb760aae0	Spectral phase transitions and trainability in neural network learning dynamics	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why
included	semantic	subcluster	S15	3	quantum / rapid internal / stability	quantum | rapid internal | stability | internal transition | entropy | coincide | binary | reorganization | entropy reduction | fixed-point	2.333	3	0	0	3	0	0	3	1	3	0	0	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	w_8a9381903c1dcd61	Grokking as an entanglement transition in tensor network machine learning	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks
audited	tfidf	macro	M01	48	grokking / grokking neural / generalization	grokking | grokking neural | generalization | memorization generalization | overfitting | grokking phenomenon | understand grokking | transition neural | minimization | norm minimization	0.625	8	40	1	7	37	3	20	2	4	4	0	w_dbd268417dd9318a	The Complexity Dynamics of Grokking	w_7ff07b360090f82a	Is Grokking Worthwhile? Functional Analysis and Transferability of Generalization Circuits in Transformers	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks
audited	tfidf	macro	M02	43	quantum / linear regions / post-grokking	quantum | linear regions | post-grokking | order parameter | representation quality | fourier | representation geometry | error | separability | polynomials	1.674	28	15	4	24	15	0	32	16	18	6	0	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	w_78af69834e46633e	Trait-space Monitoring for Emergent Misalignment During Supervised Finetuning	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
audited	tfidf	macro	M03	6	scale-free / avalanche / autocorrelation	scale-free | avalanche | autocorrelation | size control | software | hardware software | neuromorphic | homeostatic | stored-pattern | hardware	2.0	6	0	0	6	0	0	6	0	6	0	0	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity
audited	tfidf	macro	M04	26	predictive / allocentric / place	predictive | allocentric | place | dynamical systems | egocentric | coding | place cells | decentralized | reservoir | prediction	1.5	16	10	1	15	9	1	15	11	0	12	1	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	w_dcf16633f7a33b13	Emergent Entrainment and Predictive Dynamics in Bio-Inspired Spiking Neural Networks	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations
audited	tfidf	macro	M05	30	recurrent neural / hebbian / recurrent	recurrent neural | hebbian | recurrent | neural circuits | structure artificial | constants | working memory | working | convolutional neural | cognitive tasks	0.8	7	23	0	7	17	6	11	3	0	10	0	w_ca22559e045ae009	Recurrent neural network models for working memory of continuous variables: activity manifolds, connectivity patterns, and dynamic codes	w_5c54f66764cf4f97	Temporal hierarchy in spiking neural networks	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex
audited	tfidf	macro	M06	25	icl / in-context / in-context icl	icl | in-context | in-context icl | diversity | task diversity | subcircuits | tasks examples | function vectors | adapt tasks | induction	1.08	9	16	1	8	16	0	13	5	7	2	0	w_b1b2841abfaf8ef2	Which Attention Heads Matter for In-Context Learning?	w_b9374a286a73fd88	Layer Specialization Underlying Compositional Reasoning in Transformers	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers
audited	tfidf	macro	M07	7	misalignment / persona / fine-tuning	misalignment | persona | fine-tuning | persona features | mis | realignment | misaligned | safety | misalignment language | toxic	0.143	0	7	0	0	7	0	0	1	0	0	0	w_69468026d902ba92	An Emergent Mirage: Is Emergent Misalignment and Realignment Indeed a Robust Phenomenon?	w_24c53f7838cefa65	Intrinsic Guardrails: How Semantic Geometry of Personality Interacts with Emergent Misalignment in LLMs	w_8e2c23b49bc4d436	Actionable Activation Directions for Detecting and Mitigating Emergent Misalignment Across Language Model Families
audited	tfidf	macro	M08	2	reasoning types / implicit reasoning / transformers implicit	reasoning types | implicit reasoning | transformers implicit | journey | succeed | comparison consistently | transformers fail | examples transformers | focusing representative | representative reasoning	0.5	0	2	0	0	1	1	1	0	0	0	0	w_5230ec460b7adaac	Grokked Transformers are Implicit Reasoners: A Mechanistic Journey to the Edge of Generalization	w_5230ec460b7adaac	Grokked Transformers are Implicit Reasoners: A Mechanistic Journey to the Edge of Generalization	w_5230ec460b7adaac	Grokked Transformers are Implicit Reasoners: A Mechanistic Journey to the Edge of Generalization
audited	tfidf	macro	M09	18	world representations / world / saes	world representations | world | saes | sparse autoencoders | autoencoders | residual stream | autoencoders saes | world simple | latent world | state transition	0.333	0	18	0	0	17	1	2	4	0	0	0	w_afd5289886580185	Emergent World Representations in OpenVLA	w_ed2497928c30d699	Anchored Intrinsic Coordinates for Grokking: Curvature, Predictive Reducibility, and Boundary Cases	w_dee1d8642fb8ec4d	Linear Latent World Models in Simple Transformers: A Case Study on Othello-GPT
audited	tfidf	macro	M10	128	language / pre-trained / reasoning	language | pre-trained | reasoning | cot | laws | scaling laws | parallels | harmonic loss | instead | factual	0.609	18	110	1	17	104	6	38	14	5	19	2	w_a9cb982ac7d47107	Revealing Algorithmic Deductive Circuits for Logical Reasoning	w_7636520e4c22ae54	Grokking in the Wild: Data Augmentation for Real-World Multi-Hop Reasoning with Transformers	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models
audited	tfidf	subcluster	S01	11	optimization dynamics / commutator / decay phase	optimization dynamics | commutator | decay phase | memorization generalization | weight decay | low-dimensional representations | weight | grokking abrupt | abrupt transition | transition memorization	0.818	3	8	0	3	7	1	5	1	3	0	0	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	w_f5760f8154c234f6	Mechanistic Insights into Grokking from the Embedding Layer	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure
audited	tfidf	subcluster	S02	9	understand grokking / transition neural / long overfitting	understand grokking | transition neural | long overfitting | phase transition | generalize long | spectral entropy | phase | grokking phenomenon | existence | understand	0.667	1	8	0	1	8	0	5	1	0	0	0	w_dbd268417dd9318a	The Complexity Dynamics of Grokking	w_28c10566bff3c19f	Language Models Grow Less Humanlike beyond Phase Transition	w_a124ea491b1e38a3	Spectral Entropy Collapse as a Phase Transition in Delayed Generalisation: An Interventional and Predictive Framework for Grokkin
audited	tfidf	subcluster	S03	28	grokking neural / grokking / minimization	grokking neural | grokking | minimization | norm minimization | feature-learning | generalization | generalisation grokking | remains fundamental | lazy | transitioning	0.536	4	24	1	3	22	2	10	0	1	4	0	w_00352f2c07e55403	Deep Grokking: Would Deep Neural Networks Generalize Better?	w_7ff07b360090f82a	Is Grokking Worthwhile? Functional Analysis and Transferability of Generalization Circuits in Transformers	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks
audited	tfidf	subcluster	S04	21	quantum / order parameter / error	quantum | order parameter | error | analytic | quantum neural | parameterized | grokking order | transition layer | eigenvalue | test error	1.905	18	3	1	17	3	0	18	5	16	1	0	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	w_67833e8bc8bb92f5	Redundant representations help generalization in wide neural networks * , †
audited	tfidf	subcluster	S05	22	linear regions / representation quality / linear	linear regions | representation quality | linear | fourier | separability | pca | sparse fourier | long delay | fourier features | two-stage	1.455	10	12	3	7	12	0	14	11	2	5	0	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	w_78af69834e46633e	Trait-space Monitoring for Emergent Misalignment During Supervised Finetuning	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability
audited	tfidf	subcluster	S06	6	scale-free / avalanche / autocorrelation	scale-free | avalanche | autocorrelation | size control | software | hardware software | neuromorphic | homeostatic | stored-pattern | hardware	2.0	6	0	0	6	0	0	6	0	6	0	0	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity
audited	tfidf	subcluster	S07	9	place / hippocampal / place cells	place | hippocampal | place cells | place-like | learns formally | spatial | balance | coherent | spatial representation | replay	1.889	8	1	0	8	0	1	7	2	0	8	0	w_5362be8fefcfa6c2	When and Where: A Model Hippocampal Network Unifies Formation of Time Cells and Place Cells	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation
