corpus	method	level	cluster	algorithmic_label	role	work_id	title	verdict	tier	supported_count	supported_criteria
included	tfidf	macro	M04	abstract / systems / attention computation	boundary	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	INCLUDE	TIER_1	3	SCALING,COMPRESSION,NOVEL_BASIS
included	tfidf	macro	M04	abstract / systems / attention computation	strongest	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	tfidf	macro	M05	spatial / recurrent / sequential	medoid	w_cbbadc97bc1c553c	Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	macro	M05	spatial / recurrent / sequential	boundary	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	macro	M05	spatial / recurrent / sequential	strongest	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	tfidf	macro	M06	avalanche / homeostatic / hardware	medoid	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M06	avalanche / homeostatic / hardware	boundary	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	macro	M06	avalanche / homeostatic / hardware	strongest	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S01	icl / induction heads / conditional	medoid	w_0308d55890a5b9c6	On the Emergence of Induction Heads for In-Context Learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S01	icl / induction heads / conditional	boundary	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S01	icl / induction heads / conditional	strongest	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	subcluster	S02	capability / concept / knowledge	medoid	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S02	capability / concept / knowledge	boundary	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S02	capability / concept / knowledge	strongest	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S03	order parameters / internal order / order	medoid	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S03	order parameters / internal order / order	boundary	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S03	order parameters / internal order / order	strongest	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S04	trainability / encoded / deep neural	medoid	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	subcluster	S04	trainability / encoded / deep neural	boundary	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S04	trainability / encoded / deep neural	strongest	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	subcluster	S05	bottleneck / remains / remains sufficient	medoid	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	tfidf	subcluster	S05	bottleneck / remains / remains sufficient	boundary	w_b19041cd869bacfa	Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	tfidf	subcluster	S05	bottleneck / remains / remains sufficient	strongest	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	tfidf	subcluster	S06	modular addition / fourier / sparse fourier	medoid	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
included	tfidf	subcluster	S06	modular addition / fourier / sparse fourier	boundary	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S06	modular addition / fourier / sparse fourier	strongest	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	tfidf	subcluster	S07	low-rank / interventions / grokking	medoid	w_9f65ba32c1a08d74	Low-Dimensional and Transversely Curved Optimization Dynamics in Grokking	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S07	low-rank / interventions / grokking	boundary	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	subcluster	S07	low-rank / interventions / grokking	strongest	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	tfidf	subcluster	S08	generalization regimes / decay controls / weight decay	medoid	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S08	generalization regimes / decay controls / weight decay	boundary	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S08	generalization regimes / decay controls / weight decay	strongest	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S09	abstract / reusable / abstraction	medoid	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	INCLUDE	TIER_1	3	COMPRESSION,NOVEL_BASIS,GENERALISATION
included	tfidf	subcluster	S09	abstract / reusable / abstraction	boundary	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	INCLUDE	TIER_2	2	COMPRESSION,NOVEL_BASIS
included	tfidf	subcluster	S09	abstract / reusable / abstraction	strongest	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	INCLUDE	TIER_1	3	COMPRESSION,NOVEL_BASIS,GENERALISATION
included	tfidf	subcluster	S10	graph / gradient / inference	medoid	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S10	graph / gradient / inference	boundary	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S10	graph / gradient / inference	strongest	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S11	systems / dynamical systems / dynamical-system	medoid	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	tfidf	subcluster	S11	systems / dynamical systems / dynamical-system	boundary	w_29ea95f17f21c7ac	Transformers for dynamical systems learn transfer operators in-context	INCLUDE	TIER_2	2	NOVEL_BASIS,GENERALISATION
included	tfidf	subcluster	S11	systems / dynamical systems / dynamical-system	strongest	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	tfidf	subcluster	S12	spatial / hippocampal / allocentric	medoid	w_87462cebc24e3c1e	From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S12	spatial / hippocampal / allocentric	boundary	w_63d2efb7962dd788	Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	tfidf	subcluster	S12	spatial / hippocampal / allocentric	strongest	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	tfidf	subcluster	S13	fixed-point / constants / time constants	medoid	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S13	fixed-point / constants / time constants	boundary	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S13	fixed-point / constants / time constants	strongest	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	tfidf	subcluster	S14	hardware / external / autocorrelation	medoid	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S14	hardware / external / autocorrelation	boundary	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S14	hardware / external / autocorrelation	strongest	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S15	critical dynamics / internal regime / associative retrieval	medoid	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S15	critical dynamics / internal regime / associative retrieval	boundary	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	tfidf	subcluster	S15	critical dynamics / internal regime / associative retrieval	strongest	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	macro	M01	avalanche / spiking / coupling	medoid	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M01	avalanche / spiking / coupling	boundary	w_ab07437d78318352	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M01	avalanche / spiking / coupling	strongest	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M02	spatial / allocentric / coding	medoid	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	macro	M02	spatial / allocentric / coding	boundary	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	macro	M02	spatial / allocentric / coding	strongest	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	macro	M03	icl / ablation / scales	medoid	w_0308d55890a5b9c6	On the Emergence of Induction Heads for In-Context Learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	macro	M03	icl / ablation / scales	boundary	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	macro	M03	icl / ablation / scales	strongest	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	macro	M04	systems / attention computation / graph	medoid	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M04	systems / attention computation / graph	boundary	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	macro	M04	systems / attention computation / graph	strongest	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M05	weight / arithmetic / grokking	medoid	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	semantic	macro	M05	weight / arithmetic / grokking	boundary	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	macro	M05	weight / arithmetic / grokking	strongest	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	semantic	macro	M06	phase transitions / sampling / datasets	medoid	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	macro	M06	phase transitions / sampling / datasets	boundary	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	INCLUDE	TIER_2	2	COMPRESSION,NOVEL_BASIS
included	semantic	macro	M06	phase transitions / sampling / datasets	strongest	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	subcluster	S01	spiking / hardware / external	medoid	w_6fc4c4ab9c9916f7	Hysteresis, neural avalanches, and critical behavior near a first-order transition of a spiking neural network	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S01	spiking / hardware / external	boundary	w_5c54f66764cf4f97	Temporal hierarchy in spiking neural networks	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S01	spiking / hardware / external	strongest	w_6fc4c4ab9c9916f7	Hysteresis, neural avalanches, and critical behavior near a first-order transition of a spiking neural network	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S02	timescales / memory / critical dynamics	medoid	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S02	timescales / memory / critical dynamics	boundary	w_27f0a0911b68ee3a	Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S02	timescales / memory / critical dynamics	strongest	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S03	ring / optimization / reusable	medoid	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S03	ring / optimization / reusable	boundary	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S03	ring / optimization / reusable	strongest	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S04	allocentric / egocentric / spatial	medoid	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S04	allocentric / egocentric / spatial	boundary	w_cf357442f5aa7893	Predictive pursuit emerges in high-dimensional recurrent neural networks	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S04	allocentric / egocentric / spatial	strongest	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	INCLUDE	TIER_2	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S05	observations / action / representations predictive	medoid	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	INCLUDE	TIER_1	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S05	observations / action / representations predictive	boundary	w_3144bdd83cd17ac0	Automated construction of cognitive maps with visual predictive coding	INCLUDE	TIER_2	2	COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S05	observations / action / representations predictive	strongest	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	INCLUDE	TIER_1	3	SCALING,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S06	synthetic / capability / concept	medoid	w_7478c4587d99ea18	Unveiling Transformers with LEGO: a synthetic reasoning task	INCLUDE	TIER_2	3	SCALING,NOVEL_BASIS,GENERALISATION
included	semantic	subcluster	S06	synthetic / capability / concept	boundary	w_83ff2605b95d13cd	How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S06	synthetic / capability / concept	strongest	w_7478c4587d99ea18	Unveiling Transformers with LEGO: a synthetic reasoning task	INCLUDE	TIER_2	3	SCALING,NOVEL_BASIS,GENERALISATION
included	semantic	subcluster	S07	diversity / subcircuits / induction head	medoid	w_7afa59979906b85f	What Needs to Go Right for an Induction Head? A Mechanistic Study of In-Context Learning Circuits and Their Formation	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S07	diversity / subcircuits / induction head	boundary	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S07	diversity / subcircuits / induction head	strongest	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	subcluster	S08	compact task / vector / icl	medoid	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S08	compact task / vector / icl	boundary	w_b1b2841abfaf8ef2	Which Attention Heads Matter for In-Context Learning?	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S08	compact task / vector / icl	strongest	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S09	systems / attention computation / graph	medoid	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S09	systems / attention computation / graph	boundary	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S09	systems / attention computation / graph	strongest	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S10	post-grokking / replicated / transverse	medoid	w_c0722915b2be1f88	How to Tame Grokking: Representation Geometry as a Control Signal	INCLUDE	TIER_1	3	SCALING,COMPRESSION,CRITICALITY
included	semantic	subcluster	S10	post-grokking / replicated / transverse	boundary	w_b19041cd869bacfa	Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S10	post-grokking / replicated / transverse	strongest	w_c0722915b2be1f88	How to Tame Grokking: Representation Geometry as a Control Signal	INCLUDE	TIER_1	3	SCALING,COMPRESSION,CRITICALITY
included	semantic	subcluster	S11	modular-addition / fourier / frequencies	medoid	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S11	modular-addition / fourier / frequencies	boundary	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	INCLUDE	TIER_2	2	SCALING,NOVEL_BASIS
included	semantic	subcluster	S11	modular-addition / fourier / frequencies	strongest	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	INCLUDE	TIER_1	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S12	sampling / softmax / softmax attention	medoid	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S12	sampling / softmax / softmax attention	boundary	w_a6ec62ef7863cd72	Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes	INCLUDE	TIER_2	2	COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S12	sampling / softmax / softmax attention	strongest	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S13	bottleneck / retaining / nuisance	medoid	w_4ea8cb6a3b5fed46	Emergent Generalization by Representation Learning in Artificial Neural Networks	INCLUDE	TIER_2	2	SCALING,COMPRESSION
included	semantic	subcluster	S13	bottleneck / retaining / nuisance	boundary	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	INCLUDE	TIER_2	2	COMPRESSION,NOVEL_BASIS
included	semantic	subcluster	S13	bottleneck / retaining / nuisance	strongest	w_67833e8bc8bb92f5	Redundant representations help generalization in wide neural networks * , †	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
included	semantic	subcluster	S14	hessian / trainability / deep neural	medoid	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	subcluster	S14	hessian / trainability / deep neural	boundary	w_8c5442dfb760aae0	Spectral phase transitions and trainability in neural network learning dynamics	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S14	hessian / trainability / deep neural	strongest	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	TIER_2	3	SCALING,CRITICALITY,NOVEL_BASIS
included	semantic	subcluster	S15	quantum / rapid internal / stability	medoid	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
included	semantic	subcluster	S15	quantum / rapid internal / stability	boundary	w_8a9381903c1dcd61	Grokking as an entanglement transition in tensor network machine learning	INCLUDE	TIER_2	2	SCALING,CRITICALITY
included	semantic	subcluster	S15	quantum / rapid internal / stability	strongest	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
audited	tfidf	macro	M01	grokking / grokking neural / generalization	medoid	w_dbd268417dd9318a	The Complexity Dynamics of Grokking	EXCLUDE	TIER_3	0	
audited	tfidf	macro	M01	grokking / grokking neural / generalization	boundary	w_7ff07b360090f82a	Is Grokking Worthwhile? Functional Analysis and Transferability of Generalization Circuits in Transformers	EXCLUDE	TIER_3	0	
audited	tfidf	macro	M01	grokking / grokking neural / generalization	strongest	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	INCLUDE	TIER_1	3	SCALING,CRITICALITY,NOVEL_BASIS
audited	tfidf	macro	M02	quantum / linear regions / post-grokking	medoid	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	TIER_2	3	SCALING,COMPRESSION,CRITICALITY
