corpus	work_id	title	verdict	text_policy	characters	semantic_tokens_before_truncation	semantic_chunked	semantic_truncated	analysis_text
included	w_584c8d983c92b47f	Circuit Synchronization Precedes Generalization: A Causal Precursor to Grokking	INCLUDE	supported-claims-results	728	135	0	0	Title: Circuit Synchronization Precedes Generalization: A Causal Precursor to Grokking. Claim: Training constructs a synchronized Fourier circuit that executes the learned algorithm. Supporting result: The circuit is not inserted by the architecture, is formally decomposed into interacting frequency components, and is validated by component-level interventions and forked training controls that change generalization. Claim: Fourier-circuit synchronization develops before delayed generalization. Supporting result: Checkpoint trajectories across tasks, configurations, and seeds connect synchronization of independently learned Fourier components to the later accuracy transition; matched weight-decay forks move both events.
included	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	INCLUDE	supported-claims-results	794	146	0	0	Title: Control of criticality and computation in spiking neuromorphic networks with plasticity. Claim: Low external drive moves the learned recurrent network into a critical regime with distinct computational behavior. Supporting result: Branching ratio, autocorrelation, susceptibility, finite-size avalanche cutoff, and complex-task performance change together under the input control; one hundred random-seed runs and hardware/software validation replicate the regime. Claim: External input strength controls critical network organization and task-dependent computation. Supporting result: Input-strength and finite-size series connect plasticity-shaped recurrent dynamics to avalanche, branching, correlation, information, and task-performance changes across hardware and software controls.
included	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	INCLUDE	supported-claims-results	835	156	0	0	Title: Critical dynamics in associative memory networks. Claim: Plasticity regulation moves the learned associative network into a scale-free avalanche regime while preserving retrieval behavior. Supporting result: An explicit power-law-deviation threshold distinguishes critical from noncritical regimes; mechanism controls, load series, and ten-trial ensembles pair the internal regime with stored-pattern retrieval and delimit the capacity boundary. Claim: Memory load and regulatory mechanism control whether learned coupling structure supports both critical dynamics and associative retrieval. Supporting result: Load sweeps and Hebbian-only, homeostatic, and dynamical-synapse controls connect qualitative coupling/regime changes to reconstruction overlap and capacity; ten independent trials per load replicate the relationship.
included	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	INCLUDE	supported-claims-results	796	158	0	0	Title: Critical dynamics in homeostatic memory networks. Claim: Homeostatic regulation controls a subcritical-to-critical-or-supercritical transition while memory retrieval evolves. Supporting result: An explicit power-law-error threshold, coupling increments, two sizes, depressive/facilitative synapses, and three pattern structures delimit the internal transition and pair it with retrieval-quality dynamics. Claim: Learning history, coupling, network size, and pattern structure control internal regime organization and associative retrieval. Supporting result: Coupling sweeps, two network sizes, three pattern structures, and learning-time traces connect changes in learned connectivity and avalanche organization to stored-pattern overlap under explicit no-recall and homeostatic controls.
included	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	INCLUDE	supported-claims-results	1029	198	0	0	Title: Deep Networks Always Grok and Here is Why. Claim: A phase change in linear-region density precedes the behavioral transition. Supporting result: The internal phase change recurs across practical architectures and delayed-generalization/robustness controls; batch-normalization and initialization/regularization ablations delimit when the paired transition occurs. Claim: Training creates a robust partition with decision-boundary-concentrated linear regions. Supporting result: The learned arrangement differs from the initialized partition, is formally characterized through affine-spline regions, and constitutes the model's input-output map whose migration directly changes robustness and generalization. Claim: Training reorganizes the input-space partition before delayed generalization and robustness. Supporting result: Checkpointed local-complexity trajectories across MLPs, CNNs, ResNets, transformers, and datasets show nonlinear regions migrating from samples toward decision boundaries with the later behavior.
included	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	INCLUDE	supported-claims-results	722	135	0	0	Title: Differential learning kinetics govern the transition from memorization to generalization during in-context learning. Claim: A sharp diversity threshold switches the active internal solution and behavior. Supporting result: Minimal-model theory predicts the threshold and bimodality; at least twenty and up to roughly 250 seeds per critical setting replicate the rapid switch and distributional controls move it as predicted. Claim: Task diversity controls whether independent memorization or in-context subcircuits dominate. Supporting result: Diversity, context length, initialization, regularization, and data-distribution series connect attention/MLP learning kinetics to the memorization-generalization outcome.
included	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	INCLUDE	supported-claims-results	917	160	0	0	Title: Distinct mechanisms underlying in-context learning in transformers. Claim: Sharp phase boundaries separate the learned ICL algorithms. Supporting result: Rapid internal circuit changes coincide with behavioral switches and are reproduced by minimal models, theory, and broad multi-seed sweeps around the boundaries. Claim: Transformers discover multiple formally distinct in-context algorithms. Supporting result: The subcircuits are learned rather than assigned, their forward computations are explicitly characterized, and targeted mechanistic tests link each algorithm to its corresponding generalizing behavior. Claim: Task diversity and training time select qualitatively distinct ICL mechanisms. Supporting result: Controlled diversity and checkpoint series move the model through memorizing and multiple generalizing attention/MLP algorithms, paired with in-context behavior across many initializations.
included	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	INCLUDE	supported-claims-results	636	124	0	0	Title: Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective. Claim: Transformers encode latent tasks into distinct representations used by conditional decoders. Supporting result: A compact task vector replaces demonstrations as the task summary; ablation, prompting, and early-layer finetuning alter both task decodability and ICL performance. Claim: Task encoding and conditional decoding emerge together during training. Supporting result: Training checkpoints, OLMo pretraining checkpoints, and five model scales link separable task encodings to ICL performance and algorithm switching.
included	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	INCLUDE	supported-claims-results	596	102	0	0	Title: Emergence and Function of Abstract Representations in Self-Supervised Transformers. Claim: Semantic features converge onto low-dimensional manifolds. Supporting result: The learned manifold selectively encodes the dataset hierarchy, and gain-of-function manipulations show that retaining this abstraction changes reconstruction decisions. Claim: Self-supervised transformers form an abstract world model. Supporting result: Masked reconstruction without abstraction labels produces a formally measured compositional manifold; causal gain-of-function tests establish that the model uses it.
included	w_a6ec62ef7863cd72	Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes	INCLUDE	supported-claims-results	858	192	0	0	Title: Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes. Claim: A learned 12-by-12 retinal lattice compresses a 100-by-100 visual scene by allocating high resolution only where it is useful. Supporting result: The learnable lattice selects a small differentiable glimpse and reallocates resolution; fixing the lattice worsens error from 5.1% to 11.8% on fixed-size digits and from 24.4% to 31.9% on variable-size digits. Claim: A foveated, eccentricity-dependent sampling geometry emerges from an initially uniform lattice without directly prescribing foveation. Supporting result: The Gaussian-kernel lattice smoothly changes from a uniform grid into a formal eccentricity-dependent geometry; allowing zoom suppresses the geometry, while a fixed-lattice control degrades behavior, tying the learned representation to its function.
included	w_ab07437d78318352	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	INCLUDE	supported-claims-results	787	137	0	0	Title: Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks. Claim: Unconstrained recurrent training produces Compass and Shifter cell classes with structured connectivity. Supporting result: No ring or shifter organization is wired into the RNN; tuning and connectivity formally characterize the learned circuit, and class-specific connection lesions selectively abolish heading maintenance or clockwise/counterclockwise updating. Claim: Input motion statistics reorganize the learned head-direction circuit. Supporting result: Low, medium, and high angular-velocity training distributions change the Compass/Shifter allocation and tuning while preserving integration behavior across independently trained networks.
included	w_aaa017a83700f80c	Emergence of Invariance and Disentanglement in Deep Representations	INCLUDE	supported-claims-results	633	115	0	0	Title: Emergence of Invariance and Disentanglement in Deep Representations. Claim: A minimal sufficient representation is maximally invariant to nuisances. Supporting result: Information-theoretic results prove selective retention of label information while discarding nuisance information, and CIFAR experiments connect the bound to generalization. Claim: Information regularization predicts a sharp transition near the critical value beta equals one. Supporting result: Random-label controls and multiple CNN architectures reproduce the predicted information/accuracy boundary; real-label curves provide the task-relevance control.
included	w_7209270e01aef2a8	Emergent Capabilities Arise Randomly from Learning Sparse Attention Patterns	INCLUDE	supported-claims-results	687	122	0	0	Title: Emergent Capabilities Arise Randomly from Learning Sparse Attention Patterns. Claim: A sparse-attention organizational transition coincides with abrupt capability acquisition. Supporting result: The rapid transition replicates across scale and seeds; transplanting post-emergence attention into pre-emergence checkpoints recovers behavior while matched synthetic controls delimit alternatives. Claim: Capability onset follows the training- and scale-dependent appearance of sparse attention patterns. Supporting result: Five Pythia scales, training checkpoints, context-sparsity and head-count controls, and ten seeds per setting connect learned sparse attention to task accuracy.
included	w_4ea8cb6a3b5fed46	Emergent Generalization by Representation Learning in Artificial Neural Networks	INCLUDE	supported-claims-results	712	126	0	0	Title: Emergent Generalization by Representation Learning in Artificial Neural Networks. Claim: A learned information bottleneck retains the task structure needed for generalization. Supporting result: The bottleneck representation is lower-dimensional than the input, selectively preserves rotation-relevant information, and its causal-emergence score predicts and mediates robust held-out performance. Claim: Representation learning undergoes a control-dependent emergence trajectory. Supporting result: Training time, bottleneck size, task complexity, and data controls move the hidden representation between memorizing and rotation-structured regimes while changing held-out and out-of-distribution behavior.
included	w_f6a044308e277e6f	Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks	INCLUDE	supported-claims-results	809	161	0	0	Title: Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks. Claim: Multi-task training creates a recurrently mediated long-timescale mechanism. Supporting result: The recurrent mechanism is learned rather than wired, is quantitatively separated from prescribed single-neuron time constants, and targeted neuron ablations plus recurrent-weight/time-constant perturbations establish its functional role in memory. Claim: Curriculum and memory demand select distinct learned long-timescale mechanisms. Supporting result: Increasing memory length and changing the single- versus multi-head curriculum reorganize learned neuronal and recurrent timescales together with accuracy, robustness, and retraining behavior across independent networks and two tasks.
included	w_e219fcd05aa4ac72	Emergent Symbol-like Number Variables in Artificial Neural Networks	INCLUDE	supported-claims-results	724	135	0	0	Title: Emergent Symbol-like Number Variables in Artificial Neural Networks. Claim: Networks learn reusable symbol-like number subspaces without symbolic coordinates being supplied. Supporting result: The subspaces have a formally tested variable geometry across architectures, and distributed-alignment-search interchange interventions establish that the model uses them in sequence computations rather than merely making them probe-decodable. Claim: Symbol-like number variables strengthen across architecture, dimension, and task controls. Supporting result: Training and controlled model/task series show a qualitative move from item-bound codes to reusable number-variable subspaces together with compositional behavior.
included	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	INCLUDE	supported-claims-results	914	175	0	0	Title: Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models. Claim: Symbol abstraction heads convert tokens to invariant abstract variables. Supporting result: Token instances are reduced to reusable variables; cross-token decoding exceeds 98%, while causal mediation and controlled ablations establish necessity and sufficiency. Claim: The same three-stage architecture appears in three abstract reasoning tasks. Supporting result: The mechanism recurs across randomized-token rule induction, letter-string analogies, and verbal analogies in 13 models from four families, with random/control ablations. Claim: An emergent three-stage symbolic architecture supports abstract reasoning. Supporting result: Unmodified pretrained transformers learn variable-binding, symbolic-induction, and retrieval stages; representation, attention, patching, and ablation analyses jointly validate use.
included	w_63d2efb7962dd788	Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics	INCLUDE	supported-claims-results	899	168	0	0	Title: Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics. Claim: A learned macroscopic forecast condenses a 100-neuron microstate while preserving synergistic predictive information. Supporting result: The ridge-trained scalar readout depends on the full reservoir yet contains future information unavailable from individual neurons and is the functional prediction; readout randomization and reciprocal objective optimization link the reduced feature to performance. Claim: Training-set size and optimization objective control the onset of a synergistic predictive macrostate. Supporting result: Data-size and bidirectional objective sweeps move the forecast from non-emergent to positive-synergy organization together with prediction success across six environments and repeated reservoir populations; randomized readouts delimit the effect.
included	w_0daa43451a63b0d5	Excitatory-inhibitory recurrent dynamics produce robust visual grids and stable attractors	INCLUDE	supported-claims-results	848	171	0	0	Title: Excitatory-inhibitory recurrent dynamics produce robust visual grids and stable attractors. Claim: Recurrent activity is constrained to low-dimensional ring and toroidal attractors. Supporting result: High-dimensional recurrent activity contracts onto a two-dimensional ring or three-dimensional torus that retains position; the trained decoder uses it, and loss of the ring under speed or architecture controls coincides with unstable positional output. Claim: Grid-like population codes emerge as continuous attractor manifolds. Supporting result: The grid/ring geometry is not prescribed by the architecture or loss, is characterized by rate maps, grid scores, topology, and fixed points, and is used for position prediction; ten-network and cue, scene, activation, Dale, sparsity, and darkness controls establish robustness and function.
included	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	INCLUDE	supported-claims-results	639	107	0	0	Title: Explaining Grokking and Information Bottleneck through Neural Collapse Emergence. Claim: Population within-class variance bounds redundant representation information. Supporting result: Formal bounds show task-irrelevant information contracts while class information remains sufficient; the same quantity bounds generalization error and matches empirical collapse. Claim: Neural collapse progresses on a later timescale than training-set fitting. Supporting result: Theory and multi-dataset, multi-architecture experiments connect within-class contraction over training to delayed generalization and information-bottleneck dynamics.
included	w_45a112f0ccfe5c13	Feature emergence via margin maximization: case studies in algebraic tasks	INCLUDE	supported-claims-results	858	150	0	0	Title: Feature emergence via margin maximization: case studies in algebraic tasks. Claim: Maximum-margin solutions are sparse in Fourier or irreducible-representation space. Supporting result: Theorems restrict each neuron to a single feature family while retaining a complete task solution; experiments converge to the predicted sparse representation. Claim: Networks learn Fourier and irreducible group-representation features. Supporting result: Without feature labels, trained weights move from random mixtures to the formally characterized bases that the proofs show are required for the learned computation. Claim: Representations arise as networks approach maximum margin during training. Supporting result: Training trajectories on modular addition, sparse parity, and group composition converge to the predicted internal features and task solutions.
included	w_87462cebc24e3c1e	From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding	INCLUDE	supported-claims-results	969	177	0	0	Title: From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding. Claim: Egocentric sensorimotor prediction produces an allocentric spatial representation. Supporting result: The RNN learns formally measured place/head-direction structure and an allocentric manifold without spatial-coordinate supervision; silencing classified spatial cells raises validation loss across 100 repetitions, and held-out decoding, stability, and experimental-recording comparisons support model use. Claim: Developmental movement statistics drive sequential emergence of spatially tuned units. Supporting result: Crawl, walk, run, and adult trajectory regimes cause progressive spatial organization and improved position/head-direction decoding; matched exposure, reversed development, temporal-gap, capacity, input, and training-duration controls plus lesion effects tie the internal progression to prediction behavior.
included	w_27f0a0911b68ee3a	Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion	INCLUDE	supported-claims-results	929	169	0	0	Title: Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion. Claim: Training compresses within-class activity into low-dimensional attractors. Supporting result: The recurrent state selectively collapses within-class variation while preserving class separation used by the trained readout; fixed-point/chaotic-attractor analyses and held-out-cluster tests show preserved or improved task performance, with an explicit setting where compression is not necessary retained as a limitation. Claim: Learning reorganizes recurrent activity through expansion and compression as training samples accumulate. Supporting result: Training-sample trajectories pair changes in effective dimension and attractor organization with classification and held-out-cluster performance across 30 network/input realizations, full/minibatch controls, and additional MNIST experiments.
included	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	INCLUDE	supported-claims-results	1098	197	0	0	Title: Grokking and epoch-wise double descent in quantum neural networks. Claim: Generalization uses a sparse phase-aligned harmonic representation in place of the earlier dense solution. Supporting result: The learned output representation retains the task boundary with fewer active Fourier components, while weight-norm control preserves both the sparse state and its generalization benefit. Claim: A rapid internal representation transition accompanies the sudden generalization transition. Supporting result: Fourier sparsification and leave-one-out stability change at the grokking event alongside test error; 128-seed depth and hyperparameter series replicate the paired transition and regularization controls its persistence. Claim: Depth and training time control a dense-to-sparse internal solution change paired with grokking. Supporting result: Depths one through ten and long checkpoint trajectories connect the Fourier reorganization to test-error and stability transitions across 128 independent initializations; regularization and initialization sweeps move or stabilize the regime.
included	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	INCLUDE	supported-claims-results	568	107	0	0	Title: Grokking as a First Order Phase Transition in Two Layer Networks. Claim: Grokking maps to a first-order representation-learning transition. Supporting result: The internal order parameter and performance jump at the same predicted boundary, validated with up to 200 networks and 50 initialization/data seeds. Claim: Sample size, noise, and width control qualitatively different learned features. Supporting result: Analytic order parameters and ensembles of trained networks connect control scaling to internal teacher-feature specialization and generalization.
included	w_8a9381903c1dcd61	Grokking as an entanglement transition in tensor network machine learning	INCLUDE	supported-claims-results	718	140	0	0	Title: Grokking as an entanglement transition in tensor network machine learning. Claim: Eigenvalue evaporation and sharp entropy reduction coincide with grokking. Supporting result: The rapid internal transition recurs across multiple binary classifications and a distinct biological dataset, with initial-volume-law and non-grokking community controls delimiting the behavioral relationship. Claim: Training changes tensor-network representations from volume-law to sub-volume-law organization. Supporting result: Sweep-by-sweep entropy, spectrum, and classification measurements pair the entanglement reorganization with held-out performance across Fashion-MNIST comparisons and independent gene-expression cohorts.
included	w_2b77293cdef4c93f	Grokking as Structural Inference: Transformers Need Bayesian Lottery Tickets	INCLUDE	supported-claims-results	708	137	0	0	Title: Grokking as Structural Inference: Transformers Need Bayesian Lottery Tickets. Claim: The transformer learns a task-graph attention structure used for Bayesian inference. Supporting result: The graph is neither wired into attention nor supplied as a label, is characterized by a formal Bayesian model, and KL-targeted intervention changes the learned inference and generalization trajectory. Claim: Attention reorganizes from memorization to structural inference during training. Supporting result: Checkpoint, task-size, and initialization controls show attention condensing onto the latent task graph before generalization; the derived waiting-time law and norm/KL controls track the paired behavior.
included	w_055282d4fa8fa8da	Grokking Beyond the Euclidean Norm of Model Parameters	INCLUDE	supported-claims-results	720	134	0	0	Title: Grokking Beyond the Euclidean Norm of Model Parameters. Claim: Grokking selects sparse or low-rank functional solutions from overparameterized alternatives. Supporting result: The learned reduced solutions reconstruct the target rules and preserve held-out accuracy, while matched non-Euclidean regularizers control which compact structure and generalization regime develops. Claim: Training time, regularizer, depth, and data control sparse or low-rank solution formation during grokking. Supporting result: Checkpoint and hyperparameter series connect qualitative parameter organization to the delayed transition from memorization to test generalization across modular-arithmetic and matrix-completion settings.
included	w_cbbadc97bc1c553c	Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task	INCLUDE	supported-claims-results	949	183	0	0	Title: Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task. Claim: A recurrent network learns an allocentric attractor map and reward-directed trajectory manifold without location or direction labels. Supporting result: The learned state is formally characterized through place fields, attractor geometry, decoding, and forward-sweep trajectories; Q-only and combined-objective controls show that maintaining and reusing the predictive map supports path selection and reward behavior. Claim: Predictive and reward-learning objectives produce distinct hippocampal-like state organizations. Supporting result: Predictive pretraining, combined predictive/Q learning, and Q-only controls reorganize recurrent states from a sensory attractor map into reward-directed sweeps and task-selective activity, with faster successful navigation across ten initial conditions and randomized walls.
included	w_8d71fca6fabfe6c0	How do language models learn facts? Dynamics, curricula and hallucinations	INCLUDE	supported-claims-results	702	126	0	0	Title: How do language models learn facts? Dynamics, curricula and hallucinations. Claim: Training constructs an attention-based factual-recall circuit. Supporting result: The token-routing circuit is learned rather than supplied, is characterized by name-grouping and extraction attention, and checkpoint attention patching removes the learning plateau and changes recall acquisition. Claim: Factual learning passes through three phases while recall circuits form during the plateau. Supporting result: Training checkpoints, population size, data distribution, model size, sequence mixer, and hyperparameter controls link attention-circuit development to later knowledge acquisition across five seeds.
included	w_83ff2605b95d13cd	How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training	INCLUDE	supported-claims-results	824	141	0	0	Title: How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training. Claim: A checkpoint-localized circuit turning point separates formation from optimization behavior. Supporting result: Circuit entropy and structural consistency change regime at architecture-specific checkpoints; post-transition aligned topologies attain substantially higher standalone recall, and four model families plus relation/frequency controls reproduce the paired shift. Claim: Continual-pretraining time and model scale control a formation-to-optimization change in knowledge circuits. Supporting result: Checkpoint trajectories in four model architectures connect circuit entropy, topology, specialized heads, and layerwise information flow to factual-recall performance under relevance and frequency controls.
