corpus	method	work_id	title	year	verdict	tier	claimed_count	supported_count	supported_criteria	macro_cluster	subcluster	macro_silhouette	subcluster_silhouette
included	tfidf	w_47f0ccb3e2ec3eac	Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S01	0.067587	0.078513
included	tfidf	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	2023	INCLUDE	TIER_1	2	3	SCALING,CRITICALITY,NOVEL_BASIS	M03	S07	0.068743	-0.029068
included	tfidf	w_584c8d983c92b47f	Circuit Synchronization Precedes Generalization: A Causal Precursor to Grokking	2026	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M03	S07	0.057518	0.016902
included	tfidf	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	2019	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S14	0.210872	0.199987
included	tfidf	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	2013	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S15	0.192393	0.488456
included	tfidf	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	2011	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M06	S15	0.217567	0.467414
included	tfidf	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	2024	INCLUDE	TIER_2	2	3	SCALING,CRITICALITY,NOVEL_BASIS	M02	S04	0.029281	0.043985
included	tfidf	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	2024	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S01	0.011227	-0.022783
included	tfidf	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	2026	INCLUDE	TIER_1	3	3	SCALING,CRITICALITY,NOVEL_BASIS	M01	S01	0.042433	0.0587
included	tfidf	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	2024	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M01	S01	0.040872	0.0395
included	tfidf	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	2023	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M04	S09	0.039108	0.001244
included	tfidf	w_a6ec62ef7863cd72	Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes	2017	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M05	S13	0.00275	-0.015524
included	tfidf	w_ab07437d78318352	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	2019	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S12	0.019971	0.026559
included	tfidf	w_aaa017a83700f80c	Emergence of Invariance and Disentanglement in Deep Representations	2017	INCLUDE	TIER_2	4	2	COMPRESSION,CRITICALITY	M03	S05	0.006096	0.079535
included	tfidf	w_7209270e01aef2a8	Emergent Capabilities Arise Randomly from Learning Sparse Attention Patterns	2026	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M01	S02	0.023379	0.028775
included	tfidf	w_4ea8cb6a3b5fed46	Emergent Generalization by Representation Learning in Artificial Neural Networks	2026	INCLUDE	TIER_2	4	2	SCALING,COMPRESSION	M03	S05	0.024808	0.047316
included	tfidf	w_f6a044308e277e6f	Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks	2023	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S13	0.019422	0.014052
included	tfidf	w_e219fcd05aa4ac72	Emergent Symbol-like Number Variables in Artificial Neural Networks	2025	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M04	S09	0.03011	0.045432
included	tfidf	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	2025	INCLUDE	TIER_1	1	3	COMPRESSION,NOVEL_BASIS,GENERALISATION	M04	S09	0.036155	0.131336
included	tfidf	w_63d2efb7962dd788	Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics	2026	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M05	S12	-0.001307	-0.011615
included	tfidf	w_0daa43451a63b0d5	Excitatory-inhibitory recurrent dynamics produce robust visual grids and stable attractors	2022	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M05	S13	0.037374	-0.01648
included	tfidf	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	2025	INCLUDE	TIER_2	4	2	SCALING,COMPRESSION	M03	S05	0.041845	0.112165
included	tfidf	w_45a112f0ccfe5c13	Feature emergence via margin maximization: case studies in algebraic tasks	2023	INCLUDE	TIER_1	2	3	SCALING,COMPRESSION,NOVEL_BASIS	M03	S06	0.03068	0.095105
included	tfidf	w_87462cebc24e3c1e	From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S12	0.054423	0.097386
included	tfidf	w_27f0a0911b68ee3a	Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion	2022	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M05	S13	0.044963	-0.01927
included	tfidf	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	2026	INCLUDE	TIER_2	4	3	SCALING,COMPRESSION,CRITICALITY	M03	S06	0.046055	0.035606
included	tfidf	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	2023	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M02	S03	0.071766	0.182733
included	tfidf	w_8a9381903c1dcd61	Grokking as an entanglement transition in tensor network machine learning	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S07	-0.010741	-0.01054
included	tfidf	w_2b77293cdef4c93f	Grokking as Structural Inference: Transformers Need Bayesian Lottery Tickets	2026	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M04	S10	0.041899	0.13645
included	tfidf	w_055282d4fa8fa8da	Grokking Beyond the Euclidean Norm of Model Parameters	2025	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M03	S07	0.042427	0.000303
included	tfidf	w_cbbadc97bc1c553c	Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task	2020	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S12	0.058264	0.048033
included	tfidf	w_8d71fca6fabfe6c0	How do language models learn facts? Dynamics, curricula and hallucinations	2025	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M01	S02	0.013827	-0.014734
included	tfidf	w_83ff2605b95d13cd	How Do LLMs Acquire New Knowledge? A Knowledge Circuits Perspective on Continual Pre-Training	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S02	0.023109	0.029975
included	tfidf	w_988674ea0e8c1cb7	How Does Controllability Emerge In Language Models During Pretraining?	2025	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M01	S02	0.001625	-0.000447
included	tfidf	w_6d9aedbcf0365751	How Does Unfaithful Reasoning Emerge from Autoregressive Training? A Study of Synthetic Experiments	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S02	-0.015292	-0.033943
included	tfidf	w_c0722915b2be1f88	How to Tame Grokking: Representation Geometry as a Control Signal	2026	INCLUDE	TIER_1	2	3	SCALING,COMPRESSION,CRITICALITY	M03	S07	0.036541	0.062225
included	tfidf	w_e93a08062ac7d030	How Transformers Learn Causal Structure with Gradient Descent	2024	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M04	S10	0.098002	0.129492
included	tfidf	w_3addefc2ae588ee1	How Transformers Learn to Plan via Multi-Token Prediction	2026	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M04	S10	0.060395	0.192628
included	tfidf	w_6fc4c4ab9c9916f7	Hysteresis, neural avalanches, and critical behavior near a first-order transition of a spiking neural network	2018	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M06	S14	0.164255	0.139375
included	tfidf	w_86f10686a7226020	ILDR: Geometric Early Detection of Grokking	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S07	0.047076	0.021598
included	tfidf	w_c053dda032e0c8cc	Is Random Attention Sufficient for Sequence Modeling? Disentangling Trainable Components in the Transformer	2025	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M04	S09	0.03412	0.023397
included	tfidf	w_01e15d37549ba1fc	Latent Algorithmic Structure Precedes Grokking: A Mechanistic Study of ReLU MLPs on Modular Arithmetic	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M02	S04	-0.013443	-0.039746
included	tfidf	w_1414f43f732405e6	Learning through atypical phase transitions in overparameterized neural networks	2022	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M02	S04	0.081514	-0.004129
included	tfidf	w_9f65ba32c1a08d74	Low-Dimensional and Transversely Curved Optimization Dynamics in Grokking	2026	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M03	S07	0.021771	-0.022057
included	tfidf	w_5cfae990f2e4ea0e	Multiple-Timescale Neural Networks: Generation of History-Dependent Sequences and Inference Through Autonomous Bifurcations	2021	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S13	0.030453	0.014113
included	tfidf	w_c31a237682405c3b	Noise-Driven Escape from Metastable Phases explains Grokking in Deep Neural Networks	2026	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M02	S04	0.021601	0.002725
included	tfidf	w_0308d55890a5b9c6	On the Emergence of Induction Heads for In-Context Learning	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S01	0.023939	0.031418
included	tfidf	w_25ba5099b834e43a	On the Mechanism and Dynamics of Modular Addition: Fourier Features, Lottery Ticket, and Grokking	2026	INCLUDE	TIER_1	1	3	SCALING,COMPRESSION,NOVEL_BASIS	M03	S06	0.03142	-0.012341
included	tfidf	w_6ffbda57ab6a27ae	Optimal reinforcement learning near the edge of a synchronization transition	2022	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S14	0.136915	0.01872
included	tfidf	w_dff3d1da5e63f8e0	Phase Transitions in Attention: A Bayesian Theory of Copy Head Emergence	2026	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M02	S03	0.076079	0.130216
included	tfidf	w_e290bc51cfc6cc89	Phase transitions reveal hierarchical structure in deep neural networks	2025	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M02	S04	0.047728	0.032319
included	tfidf	w_b19041cd869bacfa	Post-Grokking Collapse at the Representation-Readout Interface in Muon-Trained Transformers	2026	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M03	S05	0.047971	-0.007011
included	tfidf	w_85b812c5c78e647c	Predicting the Emergence of Induction Heads in Language Model Pretraining	2025	INCLUDE	TIER_2	1	2	SCALING,CRITICALITY	M01	S01	0.05988	0.070418
included	tfidf	w_d27b97e00fa37f8b	Prediction horizon shapes representations in predictive learning	2025	INCLUDE	TIER_2	4	3	SCALING,COMPRESSION,NOVEL_BASIS	M04	S11	0.04668	0.097347
included	tfidf	w_0c85822618800428	Predictive learning as a network mechanism for extracting low-dimensional latent space representations	2021	INCLUDE	TIER_1	2	3	SCALING,COMPRESSION,NOVEL_BASIS	M04	S11	0.013949	0.072583
included	tfidf	w_cf357442f5aa7893	Predictive pursuit emerges in high-dimensional recurrent neural networks	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S12	0.058302	0.072216
included	tfidf	w_e1dd76d318faa330	Predictive sequence learning in the hippocampal formation	2024	INCLUDE	TIER_2	1	3	SCALING,COMPRESSION,NOVEL_BASIS	M05	S12	0.051084	0.054858
included	tfidf	w_f3172e652cebe4b6	Progress Measures for Grokking via Mechanistic Interpretability	2023	INCLUDE	TIER_1	5	4	SCALING,CRITICALITY,COMPRESSION,NOVEL_BASIS	M03	S06	0.053209	0.045776
included	tfidf	w_248da8719a3b92f1	Quantum-data-driven dynamical transition in quantum learning	2024	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M05	S13	-0.042464	-0.03932
included	tfidf	w_34505df745b929e9	Random noise promotes slow heterogeneous synaptic dynamics important for robust working memory computation	2025	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S13	0.000424	-0.006901
included	tfidf	w_71088ab66e735f6d	Recurrent Neural Networks Learn to Store and Generate Sequences using Non-Linear Representations	2024	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S13	0.018484	-0.043088
included	tfidf	w_67833e8bc8bb92f5	Redundant representations help generalization in wide neural networks * , †	2023	INCLUDE	TIER_2	2	3	SCALING,COMPRESSION,CRITICALITY	M03	S06	0.008705	0.001696
included	tfidf	w_de78b34865a33cc1	Sequential predictive learning is a unifying theory for hippocampal representation and replay	2024	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S12	0.05345	0.070936
included	tfidf	w_38e23f5995c71d9b	Spatial reasoning via recurrent neural dynamics in mouse retrosplenial cortex	2025	INCLUDE	TIER_2	2	3	SCALING,COMPRESSION,NOVEL_BASIS	M05	S12	0.0327	0.039719
included	tfidf	w_b1a722c7add3a18c	Specialization of softmax attention heads: insights from the high-dimensional single-location model	2026	INCLUDE	TIER_2	1	2	SCALING,CRITICALITY	M02	S03	0.043491	0.136983
included	tfidf	w_a124ea491b1e38a3	Spectral Entropy Collapse as a Phase Transition in Delayed Generalisation: An Interventional and Predictive Framework for Grokkin	2026	INCLUDE	TIER_2	4	2	SCALING,COMPRESSION	M03	S07	0.047967	0.047752
included	tfidf	w_8c5442dfb760aae0	Spectral phase transitions and trainability in neural network learning dynamics	2026	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M02	S04	0.032427	0.013783
included	tfidf	w_4ec0813caf380920	Structure-Specific Representational Priors Causally Control the Grokking Delay	2026	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M03	S07	0.017719	0.038515
included	tfidf	w_5c54f66764cf4f97	Temporal hierarchy in spiking neural networks	2024	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S13	-0.013704	-0.017625
included	tfidf	w_f05eeedb3d84fbb7	The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase Structure	2026	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M03	S08	0.043379	0.36594
included	tfidf	w_e0964d9cc077c1f7	The Kinetics of Training: A Driven-Nucleation Rate Law for Emergence, Plasticity Loss, and Circuit Control in Language Models	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S02	0.044917	0.043527
included	tfidf	w_4ae2e575bb61224a	The mechanistic basis of data dependence and abrupt learning in an in-context classification task	2023	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M01	S01	0.070529	0.098959
included	tfidf	w_97808c92883566a2	Thinking Sparks!: Emergent Attention Heads in Reasoning Models During Post Training	2025	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M01	S02	0.027573	0.016032
included	tfidf	w_5fc248e95ef96553	Towards Empirical Interpretation of Internal Circuits and Properties in Grokked Transformers on Modular Polynomials	2024	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M03	S06	0.054621	0.079068
included	tfidf	w_29ea95f17f21c7ac	Transformers for dynamical systems learn transfer operators in-context	2026	INCLUDE	TIER_2	4	2	NOVEL_BASIS,GENERALISATION	M04	S11	0.080258	0.02822
included	tfidf	w_7478c4587d99ea18	Unveiling Transformers with LEGO: a synthetic reasoning task	2022	INCLUDE	TIER_2	1	3	SCALING,NOVEL_BASIS,GENERALISATION	M04	S09	0.036579	0.007573
included	tfidf	w_f5f5600670f31041	Weight Decay Regimes in Grokking Transformers: Cheap Online Diagnostics	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S08	0.024755	0.402003
included	tfidf	w_7afa59979906b85f	What Needs to Go Right for an Induction Head? A Mechanistic Study of In-Context Learning Circuits and Their Formation	2024	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M01	S01	0.051373	0.053691
included	tfidf	w_33b529766cc60dd2	What One Cannot, Two Can: Two-Layer Transformers Provably Represent Induction Heads on Any-Order Markov Chains	2025	INCLUDE	TIER_2	3	2	COMPRESSION,SCALING	M01	S01	0.012932	0.030475
included	tfidf	w_5362be8fefcfa6c2	When and Where: A Model Hippocampal Network Unifies Formation of Time Cells and Place Cells	2026	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M05	S12	0.047009	0.075804
included	tfidf	w_b1b2841abfaf8ef2	Which Attention Heads Matter for In-Context Learning?	2025	INCLUDE	TIER_2	5	2	SCALING,COMPRESSION	M01	S01	0.064089	0.086381
included	tfidf	w_9f42a69c53e47f06	Why the Brain Consolidates: Predictive Forgetting for Optimal Generalisation	2026	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M03	S05	0.00503	0.070124
included	semantic	w_c05624cc0be4c2cb	A jamming transition from under- to over-parametrization affects generalization in deep learning	2018	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S14	0.046274	0.110149
included	semantic	w_f94f564014be4c25	A Mechanistic Analysis of Transformers for Dynamical Systems	2025	INCLUDE	TIER_2	0	2	SCALING,COMPRESSION	M04	S09	0.061023	-0.079748
included	semantic	w_3f7299052e18118d	A Neural Network Model of Free Recall Learns Multiple Memory Strategies	2026	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M01	S02	-0.068887	-0.028572
included	semantic	w_07d5eb02f4e65497	A phase transition between positional and semantic learning in a solvable model of dot-product attention	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S12	-0.084564	0.083436
included	semantic	w_ee7cdd8c7d281656	A simple model of co-emergence of grid and place fields	2026	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M02	S04	0.249712	0.25675
included	semantic	w_92e78fbf258ed40a	Assign and Add: A Mechanistic Study of Compositional Arithmetic	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M05	S11	0.02303	0.22426
included	semantic	w_7642d8c74152ab9f	Attention-Head Binding as a Term-Conditioned Mechanistic Marker of Accessibility Concept Emergence in Language Models	2026	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S06	0.17568	0.017119
included	semantic	w_3d415e237f7c4f65	Autocorrelations from emergent bistability in homeostatic spiking neural networks on neuromorphic hardware	2022	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S01	0.259354	0.34633
included	semantic	w_3144bdd83cd17ac0	Automated construction of cognitive maps with visual predictive coding	2024	INCLUDE	TIER_2	1	2	COMPRESSION,NOVEL_BASIS	M02	S05	0.308845	0.003616
included	semantic	w_0ff86e6a31e1d145	Balancing Stability and Flow in Hippocampal Networks via Inductive Bias and Learned Symmetry Breaking	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M01	S03	-0.024927	-0.148151
included	semantic	w_47f0ccb3e2ec3eac	Beyond Induction Heads: In-Context Meta Learning Induces Multi-Phase Circuit Emergence	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S07	0.116215	0.335996
included	semantic	w_63db75cd5e03c2b8	Bridging Lottery Ticket and Grokking: Understanding Grokking from Inner Structure of Networks	2023	INCLUDE	TIER_1	2	3	SCALING,CRITICALITY,NOVEL_BASIS	M05	S10	0.143897	-0.056595
included	semantic	w_584c8d983c92b47f	Circuit Synchronization Precedes Generalization: A Causal Precursor to Grokking	2026	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M05	S11	0.221645	0.224262
included	semantic	w_679c49d202c94f8e	Control of criticality and computation in spiking neuromorphic networks with plasticity	2019	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S01	0.23208	0.334989
included	semantic	w_3a9d20d4ea381a66	Critical dynamics in associative memory networks	2013	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M01	S02	0.228303	0.045586
included	semantic	w_d18730b289f06c03	Critical dynamics in homeostatic memory networks	2011	INCLUDE	TIER_2	4	2	SCALING,CRITICALITY	M01	S02	0.195045	0.101763
included	semantic	w_811a8cd021958e82	Deep Networks Always Grok and Here is Why	2024	INCLUDE	TIER_2	2	3	SCALING,CRITICALITY,NOVEL_BASIS	M06	S14	0.0466	0.134657
included	semantic	w_a6027fec6ac3ab9a	Differential learning kinetics govern the transition from memorization to generalization during in-context learning	2024	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M03	S07	0.026266	0.107636
included	semantic	w_8af770f5f86d5ac0	Distinct mechanisms underlying in-context learning in transformers	2026	INCLUDE	TIER_1	3	3	SCALING,CRITICALITY,NOVEL_BASIS	M03	S07	0.069315	0.239003
included	semantic	w_848983c423304f71	Emergence and Effectiveness of Task Vectors in In-Context Learning: An Encoder Decoder Perspective	2024	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M03	S08	-0.079736	0.201875
included	semantic	w_a68de8b27948098c	Emergence and Function of Abstract Representations in Self-Supervised Transformers	2023	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M06	S13	-0.199468	-0.093908
included	semantic	w_a6ec62ef7863cd72	Emergence of Foveal Image Sampling from Learning to Attend in Visual Scenes	2017	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M06	S12	-0.107378	-0.056043
included	semantic	w_ab07437d78318352	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	2019	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M01	S03	-0.100187	-0.112719
included	semantic	w_aaa017a83700f80c	Emergence of Invariance and Disentanglement in Deep Representations	2017	INCLUDE	TIER_2	4	2	COMPRESSION,CRITICALITY	M06	S13	0.149779	0.142978
included	semantic	w_7209270e01aef2a8	Emergent Capabilities Arise Randomly from Learning Sparse Attention Patterns	2026	INCLUDE	TIER_2	3	2	SCALING,CRITICALITY	M03	S06	0.070054	-0.07322
included	semantic	w_4ea8cb6a3b5fed46	Emergent Generalization by Representation Learning in Artificial Neural Networks	2026	INCLUDE	TIER_2	4	2	SCALING,COMPRESSION	M06	S13	0.071474	0.152769
included	semantic	w_f6a044308e277e6f	Emergent mechanisms for long timescales depend on training curriculum and affect performance in memory tasks	2023	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M01	S02	0.114729	0.122992
included	semantic	w_e219fcd05aa4ac72	Emergent Symbol-like Number Variables in Artificial Neural Networks	2025	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M01	S03	-0.084634	-0.016172
included	semantic	w_cb00fb1bab7f3b7f	Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models	2025	INCLUDE	TIER_1	1	3	COMPRESSION,NOVEL_BASIS,GENERALISATION	M03	S06	0.065337	0.131591
included	semantic	w_63d2efb7962dd788	Evolving reservoir computers reveal bidirectional coupling between predictive power and emergent dynamics	2026	INCLUDE	TIER_2	1	2	SCALING,COMPRESSION	M01	S03	0.054364	-0.080284
included	semantic	w_0daa43451a63b0d5	Excitatory-inhibitory recurrent dynamics produce robust visual grids and stable attractors	2022	INCLUDE	TIER_2	3	2	COMPRESSION,NOVEL_BASIS	M01	S03	-0.089796	-0.116607
included	semantic	w_cddfb17d263e3744	Explaining Grokking and Information Bottleneck through Neural Collapse Emergence	2025	INCLUDE	TIER_2	4	2	SCALING,COMPRESSION	M06	S13	-0.00213	0.05312
included	semantic	w_45a112f0ccfe5c13	Feature emergence via margin maximization: case studies in algebraic tasks	2023	INCLUDE	TIER_1	2	3	SCALING,COMPRESSION,NOVEL_BASIS	M06	S13	-0.051849	-0.090922
included	semantic	w_87462cebc24e3c1e	From movement to cognitive maps: recurrent neural networks reveal how locomotor development shapes hippocampal spatial coding	2026	INCLUDE	TIER_2	2	2	SCALING,NOVEL_BASIS	M02	S04	0.361166	0.353721
included	semantic	w_27f0a0911b68ee3a	Gradient-based learning drives robust representations in recurrent neural networks by balancing compression and expansion	2022	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M01	S02	0.031685	-0.069518
included	semantic	w_35bf58ca4093d76e	Grokking and epoch-wise double descent in quantum neural networks	2026	INCLUDE	TIER_2	4	3	SCALING,COMPRESSION,CRITICALITY	M06	S15	-0.089575	0.207062
included	semantic	w_9db7d6568bb89686	Grokking as a First Order Phase Transition in Two Layer Networks	2023	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M05	S10	0.057716	-0.0857
included	semantic	w_8a9381903c1dcd61	Grokking as an entanglement transition in tensor network machine learning	2025	INCLUDE	TIER_2	2	2	SCALING,CRITICALITY	M06	S15	0.002057	0.199577
included	semantic	w_2b77293cdef4c93f	Grokking as Structural Inference: Transformers Need Bayesian Lottery Tickets	2026	INCLUDE	TIER_2	3	2	SCALING,NOVEL_BASIS	M04	S09	0.095123	0.077457
included	semantic	w_055282d4fa8fa8da	Grokking Beyond the Euclidean Norm of Model Parameters	2025	INCLUDE	TIER_2	2	2	SCALING,COMPRESSION	M05	S10	0.156385	0.033597
included	semantic	w_cbbadc97bc1c553c	Hippocampal representations emerge when training recurrent neural networks on a memory dependent maze navigation task	2020	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M02	S04	0.304115	0.380631
included	semantic	w_8d71fca6fabfe6c0	How do language models learn facts? Dynamics, curricula and hallucinations	2025	INCLUDE	TIER_2	1	2	SCALING,NOVEL_BASIS	M03	S06	0.131565	-0.004058
